,Volumen [cm^3],Presión [Pa]
318,4.363,139.15
319,4.361,139.58
320,4.359,140.01
321,4.357,140.44
322,4.355,140.87
323,4.353,141.31
324,4.351,141.74
325,4.349,142.17
326,4.347,142.6
327,4.345,143.03
328,4.343,143.46
329,4.341,143.89
330,4.339,144.32
331,4.337,144.75
332,4.335,145.18
333,4.333,145.61
334,4.331,146.04
335,4.329,146.47
336,4.327,146.9
337,4.325,147.33
338,4.323,147.76
339,4.321,148.19
340,4.319,148.62
341,4.317,149.05
342,4.315,149.48
343,4.313,149.91
344,4.311,150.34
345,4.309,150.77
346,4.307,151.2
347,4.305,151.63
348,4.303,152.06
349,4.301,152.49
350,4.299,152.91
351,4.297,153.34
352,4.295,153.77
353,4.293,154.2
354,4.291,154.63
355,4.289,155.06
356,4.287,155.49
357,4.285,155.92
358,4.283,156.35
359,4.281,156.78
360,4.279,157.2
361,4.277,157.63
362,4.275,158.06
363,4.273,158.49
364,4.271,158.92
365,4.269,159.35
366,4.267,159.77
367,4.265,160.2
368,4.263,160.63
369,4.261,161.06
370,4.259,161.49
371,4.257,161.91
372,4.255,162.34
373,4.253,162.77
374,4.251,163.2
375,4.249,163.63
376,4.247,164.05
377,4.245,164.48
378,4.243,164.91
379,4.241,165.34
380,4.239,165.76
381,4.237,166.19
382,4.235,166.62
383,4.233,167.04
384,4.231,167.47
385,4.229,167.9
386,4.227,168.33
387,4.225,168.75
388,4.223,169.18
389,4.221,169.61
390,4.219,170.03
391,4.217,170.46
392,4.215,170.89
393,4.213,171.31
394,4.211,171.74
395,4.209,172.17
396,4.207,172.59
397,4.205,173.02
398,4.203,173.44
399,4.201,173.87
400,4.199,174.3
401,4.197,174.72
402,4.195,175.15
403,4.193,175.57
404,4.191,176.0
405,4.189,176.42
406,4.187,176.85
407,4.185,177.28
408,4.183,177.7
409,4.181,178.13
410,4.179,178.55
411,4.177,178.98
412,4.175,179.4
413,4.173,179.83
414,4.171,180.25
415,4.169,180.68
416,4.167,181.1
417,4.165,181.53
418,4.163,181.95
419,4.161,182.38
420,4.159,182.8
421,4.157,183.23
422,4.155,183.65
423,4.153,184.07
424,4.151,184.5
425,4.149,184.92
426,4.147,185.35
427,4.145,185.77
428,4.143,186.2
429,4.141,186.62
430,4.139,187.04
431,4.137,187.47
432,4.135,187.89
433,4.133,188.31
434,4.131,188.74
435,4.129,189.16
436,4.127,189.58
437,4.125,190.01
438,4.123,190.43
439,4.121,190.85
440,4.119,191.28
441,4.117,191.7
442,4.115,192.12
443,4.113,192.55
444,4.111,192.97
445,4.109,193.39
446,4.107,193.82
447,4.105,194.24
448,4.103,194.66
449,4.101,195.08
450,4.099,195.5
451,4.097,195.93
452,4.095,196.35
453,4.093,196.77
454,4.091,197.19
455,4.089,197.62
456,4.087,198.04
457,4.085,198.46
458,4.083,198.88
459,4.081,199.3
460,4.079,199.72
461,4.077,200.15
462,4.075,200.57
463,4.073,200.99
464,4.071,201.41
465,4.069,201.83
466,4.067,202.25
467,4.065,202.67
468,4.063,203.09
469,4.061,203.51
470,4.059,203.94
471,4.057,204.36
472,4.055,204.78
473,4.053,205.2
474,4.051,205.62
475,4.049,206.04
476,4.047,206.46
477,4.045,206.88
478,4.043,207.3
479,4.041,207.72
480,4.039,208.14
481,4.037,208.56
482,4.035,208.98
483,4.033,209.4
484,4.031,209.82
485,4.029,210.24
486,4.027,210.66
487,4.025,211.08
488,4.023,211.5
489,4.021,211.92
490,4.019,212.33
491,4.017,212.75
492,4.015,213.17
493,4.013,213.59
494,4.011,214.01
495,4.009,214.43
496,4.007,214.85
497,4.005,215.27
498,4.003,215.68
499,4.001,216.1
500,3.999,216.52
501,3.997,216.94
502,3.995,217.36
503,3.993,217.78
504,3.991,218.19
505,3.989,218.61
506,3.987,219.03
507,3.985,219.45
508,3.983,219.86
509,3.981,220.28
510,3.979,220.7
511,3.977,221.12
512,3.975,221.53
513,3.973,221.95
514,3.971,222.37
515,3.969,222.79
516,3.967,223.2
517,3.965,223.62
518,3.963,224.04
519,3.961,224.45
520,3.959,224.87
521,3.957,225.29
522,3.955,225.7
523,3.953,226.12
524,3.951,226.53
525,3.949,226.95
526,3.947,227.37
527,3.945,227.78
528,3.943,228.2
529,3.941,228.61
530,3.939,229.03
531,3.937,229.45
532,3.935,229.86
533,3.933,230.28
534,3.931,230.69
535,3.929,231.11
536,3.927,231.52
537,3.925,231.94
538,3.923,232.35
539,3.921,232.77
540,3.919,233.18
541,3.917,233.6
542,3.915,234.01
543,3.913,234.42
544,3.911,234.84
545,3.909,235.25
546,3.907,235.67
547,3.905,236.08
548,3.903,236.5
549,3.901,236.91
550,3.899,237.32
551,3.897,237.74
552,3.895,238.15
553,3.893,238.56
554,3.891,238.98
555,3.889,239.39
556,3.887,239.8
557,3.885,240.22
558,3.883,240.63
559,3.881,241.04
560,3.879,241.46
561,3.877,241.87
562,3.875,242.28
563,3.873,242.69
564,3.871,243.11
565,3.869,243.52
566,3.867,243.93
567,3.865,244.34
568,3.863,244.76
569,3.861,245.17
570,3.859,245.58
571,3.857,245.99
572,3.855,246.4
573,3.853,246.82
574,3.851,247.23
575,3.849,247.64
576,3.847,248.05
577,3.845,248.46
578,3.843,248.87
579,3.841,249.28
580,3.839,249.69
581,3.837,250.1
582,3.835,250.52
583,3.833,250.93
584,3.831,251.34
585,3.829,251.75
586,3.827,252.16
587,3.825,252.57
588,3.823,252.98
589,3.821,253.39
590,3.819,253.8
591,3.817,254.21
592,3.815,254.62
593,3.813,255.03
594,3.811,255.44
595,3.809,255.85
596,3.807,256.26
597,3.805,256.66
598,3.803,257.07
599,3.801,257.48
600,3.799,257.89
601,3.797,258.3
602,3.795,258.71
603,3.793,259.12
604,3.791,259.53
605,3.789,259.93
606,3.787,260.34
607,3.785,260.75
608,3.783,261.16
609,3.781,261.57
610,3.779,261.98
611,3.777,262.38
612,3.775,262.79
613,3.773,263.2
614,3.771,263.61
615,3.769,264.01
616,3.767,264.42
617,3.765,264.83
618,3.763,265.23
619,3.761,265.64
620,3.759,266.05
621,3.757,266.46
622,3.755,266.86
623,3.753,267.27
624,3.751,267.68
625,3.749,268.08
626,3.747,268.49
627,3.745,268.89
628,3.743,269.3
629,3.741,269.71
630,3.739,270.11
631,3.737,270.52
632,3.735,270.92
633,3.733,271.33
634,3.731,271.73
635,3.729,272.14
636,3.727,272.54
637,3.725,272.95
638,3.723,273.35
639,3.721,273.76
640,3.719,274.16
641,3.717,274.57
642,3.715,274.97
643,3.713,275.38
644,3.711,275.78
645,3.709,276.19
646,3.707,276.59
647,3.705,276.99
648,3.703,277.4
649,3.701,277.8
650,3.699,278.21
651,3.697,278.61
652,3.695,279.01
653,3.693,279.42
654,3.691,279.82
655,3.689,280.22
656,3.687,280.62
657,3.685,281.03
658,3.683,281.43
659,3.681,281.83
660,3.679,282.24
661,3.677,282.64
662,3.675,283.04
663,3.673,283.44
664,3.671,283.84
665,3.669,284.25
666,3.667,284.65
667,3.665,285.05
668,3.663,285.45
669,3.661,285.85
670,3.659,286.26
671,3.657,286.66
672,3.655,287.06
673,3.653,287.46
674,3.651,287.86
675,3.649,288.26
676,3.647,288.66
677,3.645,289.06
678,3.643,289.46
679,3.641,289.86
680,3.639,290.26
681,3.637,290.66
682,3.635,291.06
683,3.633,291.46
684,3.631,291.86
685,3.629,292.26
686,3.627,292.66
687,3.625,293.06
688,3.623,293.46
689,3.621,293.86
690,3.619,294.26
691,3.617,294.66
692,3.615,295.06
693,3.613,295.46
694,3.611,295.85
695,3.609,296.25
696,3.607,296.65
697,3.605,297.05
698,3.603,297.45
699,3.601,297.85
700,3.599,298.24
701,3.597,298.64
702,3.595,299.04
703,3.593,299.44
704,3.591,299.84
705,3.589,300.23
706,3.587,300.63
707,3.585,301.03
708,3.583,301.42
709,3.581,301.82
710,3.579,302.22
711,3.577,302.61
712,3.575,303.01
713,3.573,303.41
714,3.571,303.8
715,3.569,304.2
716,3.567,304.6
717,3.565,304.99
718,3.563,305.39
719,3.561,305.78
720,3.559,306.18
721,3.557,306.57
722,3.555,306.97
723,3.553,307.36
724,3.551,307.76
725,3.549,308.15
726,3.547,308.55
727,3.545,308.94
728,3.543,309.34
729,3.541,309.73
730,3.539,310.13
731,3.537,310.52
732,3.535,310.92
733,3.533,311.31
734,3.531,311.7
735,3.529,312.1
736,3.527,312.49
737,3.525,312.89
738,3.523,313.28
739,3.521,313.67
740,3.519,314.06
741,3.517,314.46
742,3.515,314.85
743,3.513,315.24
744,3.511,315.64
745,3.509,316.03
746,3.507,316.42
747,3.505,316.81
748,3.503,317.21
749,3.501,317.6
750,3.498,318.19
751,3.496,318.58
752,3.494,318.97
753,3.492,319.36
754,3.49,319.75
755,3.488,320.14
756,3.486,320.53
757,3.484,320.92
758,3.482,321.32
759,3.48,321.71
760,3.478,322.1
761,3.476,322.49
762,3.474,322.88
763,3.472,323.27
764,3.47,323.66
765,3.468,324.05
766,3.466,324.44
767,3.464,324.83
768,3.462,325.22
769,3.46,325.61
770,3.458,326.0
771,3.456,326.38
772,3.454,326.77
773,3.452,327.16
774,3.45,327.55
775,3.448,327.94
776,3.446,328.33
777,3.444,328.72
778,3.442,329.1
779,3.44,329.49
780,3.438,329.88
781,3.436,330.27
782,3.434,330.66
783,3.432,331.04
784,3.43,331.43
785,3.428,331.82
786,3.426,332.21
787,3.424,332.59
788,3.422,332.98
789,3.42,333.37
790,3.418,333.75
791,3.416,334.14
792,3.414,334.53
793,3.412,334.91
794,3.41,335.3
795,3.408,335.68
796,3.406,336.07
797,3.404,336.46
798,3.402,336.84
799,3.4,337.23
800,3.398,337.61
801,3.396,338.0
802,3.394,338.38
803,3.392,338.77
804,3.39,339.15
805,3.388,339.54
806,3.386,339.92
807,3.384,340.31
808,3.382,340.69
809,3.38,341.08
810,3.378,341.46
811,3.376,341.84
812,3.374,342.23
813,3.372,342.61
814,3.37,342.99
815,3.368,343.38
816,3.366,343.76
817,3.364,344.14
818,3.362,344.53
819,3.36,344.91
820,3.358,345.29
821,3.356,345.67
822,3.354,346.06
823,3.352,346.44
824,3.35,346.82
825,3.348,347.2
826,3.346,347.58
827,3.344,347.97
828,3.342,348.35
829,3.34,348.73
830,3.338,349.11
831,3.336,349.49
832,3.334,349.87
833,3.332,350.25
834,3.33,350.63
835,3.328,351.02
836,3.326,351.4
837,3.324,351.78
838,3.322,352.16
839,3.32,352.54
840,3.318,352.92
841,3.316,353.3
842,3.314,353.68
843,3.312,354.06
844,3.31,354.43
845,3.308,354.81
846,3.306,355.19
847,3.304,355.57
848,3.302,355.95
849,3.3,356.33
850,3.298,356.71
851,3.296,357.09
852,3.294,357.46
853,3.292,357.84
854,3.29,358.22
855,3.288,358.6
856,3.286,358.98
857,3.284,359.35
858,3.282,359.73
859,3.28,360.11
860,3.278,360.48
861,3.276,360.86
862,3.274,361.24
863,3.272,361.62
864,3.27,361.99
865,3.268,362.37
866,3.266,362.74
867,3.264,363.12
868,3.262,363.5
869,3.26,363.87
